Name,Location,Open Year-Round,Handicap Accessible,Borough
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",No,No,Bronx
Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,Yes,No,Manhattan
Osborn Playground,Linden Boulevard & Osborn Street,Yes,No,Brooklyn
Owen Dolen Recreation Center,"Westchester Avenue, Lane Avenue, East Tremont Avenue",Yes,No,Bronx
P.O. Nicholas Demutis Playground,102 Street & Liberty Avenue,Yes,No,Queens
P.O. Serrano Playground,"Turnbull Avenue, Olmstead Avenue, Lafayette Avenue",Yes,No,Bronx
Paerdegat Park,"Foster Avenue, East 40-41 streets",Yes,No,Brooklyn
Painters Playground (PS 174),Alderton Street from Dieterle to Elwell Crescents,Yes,No,Queens
Park Slope Playground,Berkeley Street & Lincoln Place,Yes,No,Brooklyn
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",Yes,Yes,Bronx
Parkside Playground,"Parkside, Bedford & Rogers avenues",Yes,No,Brooklyn
Pat Perlato Playground,Falmouth Street & Oriental Avenue,Yes,No,Brooklyn
Paul W. Kolbert Park/Rachel Haber Cohen Playground,"Avenue L, East 17 to East 18 streets",Yes,No,Brooklyn
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,No,Bronx
Pelham Bay Park (Bruckner CS),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,No,Bronx
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,Yes,Bronx
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,Yes,Yes,Bronx
Pelham South Park Headquarters,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Yes,No,Bronx
People's Park Playground,"Brook Avenue, East 141 Street",Yes,No,Bronx
Peter's Field,183 Place & Henderson Avenue,Yes,No,Queens
PFC Thomas Norton Memorial Playground,Nostrand Avenue & Marine Parkway,Yes,No,Brooklyn
Pierrepont Playground,"Furman Street, Pierrepont Place",Yes,No,Brooklyn
Pink Playground,Stanley Avenue & Eldert Lane,Yes,No,Brooklyn
Playground 62 (PS 220),Yellowstone Boulevard between 62 Avenue & 62 Road,Yes,No,Queens
Playground 70,West End Avenue & West 70 Street,Yes,Yes,Manhattan
Playground 90/PS 148 Playground,Northern Boulevard & 90 Street,Yes,No,Queens
Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",Yes,No,Bronx
Playground Ninety Six (XCVI),"2 Avenue, East 96 to East 97 streets",Yes,No,Manhattan
Playground Seventy-Five (PS 154),160 Street & 75 Avenue,Yes,No,Queens
Police Officer Reinaldo Salgado Playground,Madison Street & Patchen Avenue,Yes,No,Brooklyn
Poor Richard's Playground,East 109 Street between 2 & 3 avenues,Yes,No,Manhattan
Potomac Playground,Tompkins Avenue & Halsey Street,Yes,No,Brooklyn
Pratt Playground,"Willoughby Avenue, Emerson Place",Yes,No,Brooklyn
Prescott Playground,Hylan Boulevard & Huguenot Avenue,Yes,No,Staten Island
Prospect Park (East Parade Grounds),Argyle Road/Parade Place./Parkside Avenue/Caton Avenue,Yes,No,Brooklyn
Prospect Park (Litchfield Villa),Prospect Park West/3rd Street/7th Street,Yes,No,Brooklyn
Prospect Park (Middle Long Meadow),Picnic House,Yes,Yes,Brooklyn
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,Yes,Yes,Brooklyn
Prospect Park (West Parade Grounds),Coney Island Avenue/Arglye Road/Parkside Avenue/Caton Avenue,Yes,No,Brooklyn
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,Yes,No,Brooklyn
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,No,No,Brooklyn
Prospect Park (Wollman Rink & Flower Garden),Prospect Lake/East Lake Drive/south of Breeze Hill/Parking Lot,No,No,Brooklyn
PS 1 Playground,"46 & 47 streets, 3 Avenue",Yes,No,Brooklyn
PS 155 Playground,"East 117 to East 118 streets, 1 to 2 avenues",Yes,No,Manhattan
PS 286 Playground,"Avenue Y, between Brown & Haring streets",Yes,Yes,Brooklyn
PS 59 Sumner Playground,"Throop, Park, Mytrle avenues",Yes,No,Brooklyn
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",No,Yes,Bronx
Queens Farm Museum,"Little Neck Parkway, Commonwealth Boulevard, south of Grand Central Parkway",Yes,No,Queens
Queensbridge Park,"21 Street, Bridge Plaza, Vernon Boulevard, East River",Yes,No,Queens
Railroad Playground,Ditmas Avenue between East 91 & East 92 streets,Yes,Yes,Brooklyn
Rainey Park,"Dawson Street, Beck Street, Kelly Street, Intervale Avenue, Longwood Avenue",No,No,Bronx
Rainey Park,"Vernon Boulevard, 33 Road, 34 Street, East River",Yes,No,Queens
Randall Playground,"Randall Avenue, Castle Hill Avenue",No,No,Bronx
Rappaport Playground,"52-53 streets, Fort Hamilton Parkway",Yes,No,Brooklyn
Real Good Park (Lie Playground),"LIE, 99 Street & 62 Avenue",Yes,Yes,Queens
Red Hook Park,"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",No,No,Brooklyn
Red Hook Park,"Columbia and Bay streets, southeast of ""Halleck Street"" Sidewalk and northeast of ""Henry Street"" Sidewalk",Yes,No,Brooklyn
Red Hook Park (Coffey Park Playground),"King, Richards, & Dwight Streets",Yes,No,Brooklyn
Red Hook Park (Recreation Center),"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",Yes,No,Brooklyn
Reiff Playground,"Fresh Pond Road, 63 Street, 59 Drive",Yes,No,Queens
Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Yes,No,Manhattan
Rev. Polite Playground,"Rev. James Polite Avenue, Intervale Avenue, East 167 Street",Yes,No,Bronx
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",Yes,Yes,Bronx
Rienzi Playground,"East 226 Street, Barnes Avenue, East 225 Street",Yes,No,Bronx
Riverbend Playground,"Bailey Avenue, West Kingsbridge Road",Yes,Yes,Bronx
Riverside Park (Boat Basin),"Riverside Drive to Hudson River, West 59th Street to Clair Place",No,No,Manhattan
Riverside Park (Café),"105th Street, next to Henry Hudson Parkway",No,Yes,Manhattan
Riverside Park (Claremont),West 124 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (Classic Playground),72nd to 79th streets between Hudson River and Henry Hudson Parkway,Yes,No,Manhattan
Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (Hippo Playground),West 91 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (Neufeld Playground),West 76 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (River Run Playground),West 83 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (Riverbank Playground),West 142 Street & Riverside Drive,Yes,No,Manhattan
Riverside Park (Ten Mile River Playground),West 148 Street & Hudson River,No,No,Manhattan
Riverside Park (Tennis Courts),Riverside Drive & West 96th Street,Yes,No,Manhattan
Robert Moses Playground,"1 Avenue, East 41 to East 42 streets",Yes,No,Manhattan
Rochdale Park,"Guy Brewer Boulevard, 134 Avenue",Yes,No,Queens
Rockaway Beach,Between 87th Street and 100th Street,No,No,Queens
Rockaway Beach,Between 100th Street and 110th Street,No,No,Queens
Rockaway Beach (Beach 116Th),Between 110th and 121st streets,Yes,No,Queens
Rockaway Beach & Boardwalk (Beach 59th Street Playground),Boardwalk & Beach 59-60 streets,Yes,No,Queens
Rockaway Beach 106 Comfort Station,Beach 106 Street,No,Yes,Queens
Rockaway Beach 117th L/G,Beach 117 Street,No,Yes,Queens
Rockaway Beach 86 Comfort Station,Beach 86 Street,No,Yes,Queens
Rockaway Beach 97 Comfort Station,Beach 97 Street,No,Yes,Queens
Rodney Playground South,"Rodney, South 3 & South 4 streets",Yes,No,Brooklyn
Roebling Playground,"Wilson & Lee avenues, Taylor Street",Yes,No,Brooklyn
Roger Morris Park (Morris Jumel Mansion),"Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets",Yes,No,Manhattan
Rolf Henry Playground,New York & Clarkson avenues,Yes,No,Brooklyn
Rose Hill Park,"Webster Avenue, Harlem River, East Fordham Road",Yes,No,Bronx
Rosemary's Playground (JHS 93),"Woodward Avenue, Woodbine Street, Fairview Avenue",Yes,No,Queens
Roy Wilkins Recreation Center,Northwest of fence running from 118th Road to hospital,Yes,No,Queens
Roy Wilkins Recreation Center,Southeast of fence running from 118th Road to hospital,Yes,No,Queens
Rudd Playground,Aberdeen Street & Bushwick Avenue,Yes,No,Brooklyn
Rufus King Park,"Jamaica Avenue, 153 Street, 89 Avenue, 150 Street",Yes,No,Queens
Russell Pederson Playground,"Colonial Road, 83 to 85 streets",Yes,No,Brooklyn
Russell Sage Playground (JHS 190),"68 Avenue, Booth to Austin streets",Yes,No,Queens
Sara D. Roosevelt Park,East Houston Street to Canal Street,Yes,Yes,Manhattan
Saratoga Square Park,"Howard Avenue, Halsey, Macon streets",Yes,No,Brooklyn
Schmul Park,"Wild Avenue, Pearson Street",Yes,No,Staten Island
Seaside Playground (PS 225),"Rockaway Beach Boulevard, B109-B110 streets",Yes,No,Queens
Seth Low Playground,"Avenue P, Bay Parkway, West 12 Street",Yes,No,Brooklyn
Seton Park,"West 135 Street, Independence Avenue, West 232 Street",Yes,No,Bronx
Seton Park Playground,West 235 Street & Douglas Avenue,No,No,Bronx
Sheltering Arms Park,"West 129 Street, Amsterdam Avenue",Yes,No,Manhattan
Sheltering Arms Park (Pool),"West 129 Street, Amsterdam Avenue",No,No,Manhattan
Shore Road Park,Owl's Head Park to Fort Hamilton Parkway Narrows Avenue,Yes,No,Brooklyn
Shore Road Park,72nd Street to Harbor View,Yes,No,Brooklyn
Shore Road Park,"92nd Street to 4 Avenue - lower half, by expressway",Yes,No,Brooklyn
Shore Road Park,"92nd Street to 4 Avenue - upper half, by road",No,No,Brooklyn
Silver Lake Park,"Victory Boulevard, Clove Road, Forest Avenue",Yes,No,Staten Island
Slattery Playground,"East 183 Street, Ryer Avenue, Valentine Avenue",Yes,No,Bronx
Slope Park,6 Avenue Bet 18 & 19 Sts,Yes,No,Brooklyn
Smokey Oval,125 Street & Atlantic Avenue,Yes,No,Queens
Sol Bloom Playground,"Columbus Avenue, West 91 to West 92 streets, Central Park West",Yes,No,Manhattan
Sol Lain Playground,"Broadway, Henry Street, Samuel Dickstein Place",No,No,Manhattan
Soundview Park Playground,Metcalf Avenue between Seward and Randall avenues,No,No,Bronx
South Beach,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,No,Staten Island
South Beach (Saturn Playground),"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Yes,Yes,Staten Island
South Beach Wetlands,Quintard St Bet. Quincy Ave & Father Capodanno Blvd,No,Yes,Staten Island
Space Time Playground,"Streetory Avenue, Bolton Avenue, Lafayette Avenue, Underhill Avenue",No,No,Bronx
Sperandeo Brothers Playground,Atlantic Avenue & Elton Street,Yes,No,Brooklyn
Springfield Park,"149 Avenue, Springfield Boulevard, 145 Road, 148 Street",Yes,No,Queens
St Nicholas Park South,West 129 & 7 Avenue,Yes,No,Manhattan
St. Albans Park (174 Street Playground),174 Street & 113 Avenue,Yes,No,Queens
St. Andrew's Playground,Atlantic Avenue & Herkimer Street,Yes,No,Brooklyn
St. Catherine's Park,"East 67-68 streets, 1 Avenue",Yes,No,Manhattan
St. Mary's Park (Recreation Center),450 St. Ann's Avenue,Yes,Yes,Bronx
St. Mary's Park West,St. Anns Avenue & East 147 Street,Yes,No,Bronx
St. Mary's Playground East Playground,Jackson Avenue between East 144 and 145 streets,Yes,Yes,Bronx
St. Nicholas Park,West 133 Street & St. Nicholas Avenue,Yes,No,Manhattan
St. Nicholas Park,West 129 Street & St. Nicholas Terrace,Yes,No,Manhattan
St. Nicholas Park (Arlington Edinboro Playground),West 140 Street & St. Nicholas Avenue,Yes,No,Manhattan
St. Vartan Park,"East 35-East 36 streets, between 1 & 2 avenues",Yes,Yes,Manhattan
Stanley Isaacs,East 96-97 streets & FDR Drive,Yes,Yes,Manhattan
Stapleton Playground,Tompkins Avenue & Broad Street,Yes,Yes,Staten Island
Star Spangled Banner Playground,Franklin & Willoughby avenues,Yes,No,Brooklyn
Stars & Stripes Playground,"Baychester Avenue, Crawford Avenue",Yes,No,Bronx
Sternberg Park,"Montrose Avenue, Boerum, Lorimer, Leonard streets",Yes,Yes,Brooklyn
Stockton Playground,Marcy & Park avenues,Yes,No,Brooklyn
Stroud Playground,Classon Avenue & Sterling Place,Yes,No,Brooklyn
Sunset Park,"41 to 44 streets, 5 to 7 avenues",Yes,No,Brooklyn
Sunset Park (Recreation Center),"41 to 44 streets, 5 to 7 avenues",Yes,No,Brooklyn
Surf Playground,West 27 Street & Surf Avenue,Yes,No,Brooklyn
Tall Oak Playground,"64 Avenue, 218 & 219 streets",Yes,No,Queens
Taylor Playground,"Guerlain Street, Thieriot Avenue, Taylor Avenue",Yes,No,Bronx
Tecumseh Playground,West 77 Street & Amsterdam Avenue,Yes,No,Manhattan
Terrace Playground,Howard Avenue & Martha Street,Yes,Yes,Staten Island
The Pearly Gates,"Tratman Avenue, Street Peter's Avenue",Yes,No,Bronx
Thomas Jefferson Park,"1 Avenue to FDR Drive, East 111 to East 114 streets",Yes,No,Manhattan
Tiffany Playground,"Tiffany Street, Fox Street, East 167 Street",Yes,No,Bronx
Tiger Playground,Evergreen Avenue & Eldert Street,Yes,Yes,Brooklyn
Tilden Playground,"Tilden Avenue, East 48 to East 49 streets",Yes,No,Brooklyn
Todt Hill Playground,Schmidts Lane & Manor Road,Yes,Yes,Staten Island
Tompkins Square Park,"Avenues A to B, East 7 to East 10 streets",Yes,Yes,Manhattan
Tremont Park Playground,Corner of East 175 Street & Arthur Avenue,Yes,No,Bronx
Triborough Bridge Playground A,"Hoyt Avenue, 19 to 21 streets",Yes,No,Queens
Triborough Bridge Playground B,"Hoyt Avenue, 21 to 23 streets",No,No,Queens
Underhill Playground,Underhill Avenue & Prospect Place,Yes,No,Brooklyn
Underwood Park,Lafayette & Waverly avenues,Yes,Yes,Brooklyn
Union Playground (PS 214),Union Street & 31 Road,Yes,No,Queens
Union Square Park,"Broadway to 4 Avenue, East 14 Street to East 17 streets",Yes,No,Manhattan
Van Cortlandt Park (Allen Shandler Recreation Area),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,No,Bronx
Van Cortlandt Park (Classic Playground),Van Cortlandt Park South and Gouverneur Avenue,Yes,No,Bronx
Van Cortlandt Park (Indian Field),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,Yes,Bronx
Van Cortlandt Park (Nature Center),West 239 Street & Van Cortlandt East,Yes,No,Bronx
Van Cortlandt Park (Pool Building),West 242nd Street & Broadway,Yes,No,Bronx
Van Cortlandt Park (Stables Area),Broadway and West 254th Street,Yes,No,Bronx
Van Cortlandt Park (Stadium),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,No,Bronx
Van Cortlandt Park (UC Pool Headquarters),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",Yes,No,Bronx
Van Cortlandt Park (UC Pool Men's Locker),West 242nd Street & Broadway,Yes,No,Bronx
Van Cortlandt Park (Woodlawn Playground),West 239 Street & Van Cortlandt East,Yes,No,Bronx
Van Voorhees Lower Park,"Congress, Columbia, West/South BQE",Yes,Yes,Brooklyn
Vesuvio Playground,Spring & Thompson streets,Yes,Yes,Manhattan
Vidalia Park,Vyse & Daly avenues between West 179-180 streets,No,Yes,Bronx
Vinmont Veteran Playground,"Mosholu Avenue, West 254 Street, Riverdale Avenue, West 256 Street",Yes,Yes,Bronx
Virginia Playground,"Virginia Avenue, McGraw Avenue, Cross Bronx Expressway, White Plains Road",No,No,Bronx
Vleigh Place Playground,Vleigh Place & 141 Street,Yes,Yes,Queens
Vleigh Playground (PS 165),70 Road to 71 Avenue,Yes,No,Queens
Wagner Pool,East 124 Street between 1 & 2 Avenues,No,No,Manhattan
Wakefield Playground,"Matilda Avenue, East 239 Street, Carpenter Avenue",Yes,No,Bronx
Washington Hall Playground,"Park, Washington avenues to Hall Street",Yes,Yes,Brooklyn
Washington Square Park Western Half,"5 Avenue, Waverly Place, West 4 & MacDougal streets.",Yes,No,Manhattan
Watson Gleason Playground,"Gleason Avenue, Rosedale Avenue, Watson Avenue, Nobel Avenue",Yes,No,Bronx
Wayanda Park,Robard Lane & 217 Street,Yes,No,Queens
Webster Playground,E. 188 St. Bet. Webster Ave. And Park Ave.,No,Yes,Bronx
Weeping Beech Park,37 Avenue & Bowne Street,Yes,No,Queens
West 2nd Street Comfort Station,W. 2nd Street,No,No,Brooklyn
West 59th Street Recreation Center & Pool,"West 59 to West 60 streets, Amsterdam to West End avenues",Yes,No,Manhattan
West 8nd Street CS,W 8 St.,No,No,Brooklyn
Whitestone Playground (PS 193),12 Avenue & 153 Street,Yes,No,Queens
William E. Kelly Memorial Park,"Avenue S, East 14 & East 15 streets",Yes,No,Brooklyn
William Sheridan Playground,"Wythe Avenue, Berry & Grand streets",Yes,No,Brooklyn
Williamsbridge Oval,"Reservoir Oval East, Reservoir Oval West, Reservoir Place, Putnam Place, Bainbridge Avenue, Wayne Avenue, Tryon Avenue, Holt Place, Van Cortlandt Avenue",Yes,No,Bronx
Willis Playground,"East 139 Street, East 140 Street, Willis & Alexander avenues",Yes,No,Bronx
Willoughby Playground,Tompkins & Willoughby avenues,Yes,No,Brooklyn
Willow Lake Playground (PS 196),Grand Central Parkway between 71 & 72 avenues,Yes,No,Queens
Willowbrook Park,Richmond Avenue To Victory Boulevard,Yes,No,Staten Island
Wingate Park,Brooklyn Avenue & Rutland Road,Yes,No,Brooklyn
Woods Playground,Bergen Street & Utica Avenue,Yes,No,Brooklyn
Woodtree Playground,"20 Avenue, 37 Street, 38 Street",Yes,No,Queens
Yak Playground,Avenue Y between Coyle & Batchelder streets,Yes,Yes,Brooklyn
Zimmerman Playground,"Britton Street, Barker Avenue, Olinville Avenue",No,No,Bronx
